@relation JM1

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true} 

@data

1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,false
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true
72,7,1,6,198,1134.13,0.05,20.31,55.85,23029.1,0.38,1279.39,51,10,8,1,17,36,112,86,13,true
190,3,1,3,600,4348.76,0.06,17.06,254.87,74202.67,1.45,4122.37,129,29,28,2,17,135,329,271,5,true
37,4,1,4,126,599.12,0.06,17.19,34.86,10297.3,0.2,572.07,28,1,6,0,11,16,76,50,7,true
31,2,1,2,111,582.52,0.08,12.25,47.55,7135.87,0.19,396.44,19,0,5,0,14,24,69,42,3,true
78,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,true
8,1,1,1,16,50.72,0.36,2.8,18.11,142.01,0.02,7.89,5,0,1,0,4,5,9,7,1,true
24,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,true
143,22,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,true
73,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,true
83,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,true
12,3,1,1,37,167.37,0.15,6.87,24.34,1150.68,0.06,63.93,8,0,2,0,11,12,22,15,5,true
48,4,1,4,129,695.61,0.06,17.35,40.1,12067.3,0.23,670.41,29,1,16,0,19,23,87,42,7,true
68,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,true
138,22,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,true
